size_id,width,height,label
20,20,,"20"" Long Edge"
24,24,,"24"" Long Edge"
30,30,,"30"" Long Edge"
36,36,,"36"" Long Edge"
40,40,,"40"" Long Edge"
48,48,,"48"" Long Edge"
56,56,,"56"" Long Edge"
1522,15,22,"15"" x 22""(38 cm x 56 cm)"
1618,16,18,"16"" x 18""(41 cm x 46 cm)"
1620,16,20,"16"" x 20""(41 cm x 51 cm)"
1623,16,23,"16"" x 23""(41 cm x 58 cm)"
1624,16,24,"16"" x 24""(41 cm x 61 cm)"
1632,16,32,"16"" x 32""(41 cm x 81 cm)"
1826,18,26,"18"" x 26""(46 cm x 66 cm)"
1926,19,26,"19"" x 26""(48 cm x 66 cm)"
1929,19,29,"19"" x 29""(48 cm x 74 cm)"
2016,20,16,"20"" x 16""(51 cm x 41 cm)"
2020,20,20,"20"" x 20""(51 cm x 51 cm)"
2024,20,24,"20"" x 24""(51 cm x 61 cm)"
2029,20,29,"20"" x 29""(51 cm x 74 cm)"
2030,20,30,"20"" x 30""(51 cm x 76 cm)"
2040,20,40,"20"" x 40""(51 cm x 102 cm)"
2126,21,26,"21"" x 26""(53 cm x 66 cm)"
2129,21,29,"21"" x 29""(53 cm x 74 cm)"
2130,21,30,"21"" x 30""(53 cm x 76 cm)"
2136,21,36,"21"" x 36""(53 cm x 91 cm)"
2219,22,19,"22"" x 19""(56 cm x 48 cm)"
2225,22,25,"22"" x 25""(56 cm x 64 cm)"
2226,22,26,"22"" x 26""(56 cm x 66 cm)"
2227,22,27,"22"" x 27""(56 cm x 69 cm)"
2230,22,30,"22"" x 30""(56 cm x 76 cm)"
2244,22,44,"22"" x 44""(56 cm x 112 cm)"
2332,23,32,"23"" x 32""(58 cm x 81 cm)"
2416,24,16,"24"" x 16""(61 cm x 41 cm)"
2418,24,18,"24"" x 18""(61 cm x 46 cm)"
2420,24,20,"24"" x 20""(61 cm x 51 cm)"
2424,24,24,"24"" x 24""(61 cm x 61 cm)"
2428,24,28,"24"" x 28""(61 cm x 71 cm)"
2429,24,29,"24"" x 29""(61 cm x 74 cm)"
2430,24,30,"24"" x 30""(61 cm x 76 cm)"
2432,24,32,"24"" x 32""(61 cm x 81 cm)"
2436,24,36,"24"" x 36""(61 cm x 91 cm)"
2440,24,40,"24"" x 40""(61 cm x 102 cm)"
2448,24,48,"24"" x 48""(61 cm x 122 cm)"
2519,25,19,"25"" x 19""(64 cm x 48 cm)"
2520,25,20,"25"" x 20""(64 cm x 51 cm)"
2522,25,22,"25"" x 22""(64 cm x 56 cm)"
2529,25,29,"25"" x 29""(64 cm x 74 cm)"
2530,25,30,"25"" x 30""(64 cm x 76 cm)"
2531,25,31,"25"" x 31""(64 cm x 79 cm)"
2532,25,32,"25"" x 32""(64 cm x 81 cm)"
2619,26,19,"26"" x 19""(66 cm x 48 cm)"
2620,26,20,"26"" x 20""(66 cm x 51 cm)"
2621,26,21,"26"" x 21""(66 cm x 53 cm)"
2632,26,32,"26"" x 32""(66 cm x 81 cm)"
2636,26,36,"26"" x 36""(66 cm x 91 cm)"
