work_id,subject
160228,Still-Life
160236,Still-Life
160244,Still-Life
160252,Still-Life
160260,Still-Life
160268,Still-Life
125752,Horses
23448,Horses
125763,Horses
24532,Marine Art/Maritime
124470,Marine Art/Maritime
124479,Marine Art/Maritime
124488,Marine Art/Maritime
124497,Marine Art/Maritime
124506,Marine Art/Maritime
124515,Marine Art/Maritime
124524,Marine Art/Maritime
124533,Marine Art/Maritime
124542,Marine Art/Maritime
124551,Marine Art/Maritime
124560,Marine Art/Maritime
124569,Marine Art/Maritime
124578,Marine Art/Maritime
124587,Marine Art/Maritime
135881,Portraits
135892,Portraits
135903,Portraits
135914,Portraits
135925,Portraits
135936,Portraits
135947,Portraits
135958,Portraits
135969,Portraits
31778,Portraits
135980,Portraits
147731,Musics
147731,Portraits
147742,Portraits
147753,Portraits
147764,Portraits
147815,Portraits
147797,Portraits
147806,Portraits
147775,Musics
147775,Portraits
147786,Dancers
147786,Portraits
24536,Portraits
24536,U.S. Presidents
122171,Dogs
122171,Portraits
122182,Portraits
122193,Portraits
122204,Portraits
122215,Portraits
122224,Portraits
194065,Portraits
194074,Portraits
194148,Portraits
194130,Portraits
194121,Portraits
194083,Portraits
194092,Portraits
194101,Portraits
194155,Portraits
194110,Portraits
194162,Portraits
194169,Portraits
194139,Portraits
160324,Portraits
160332,Portraits
24029,Rivers/Lakes
24035,Rivers/Lakes
24037,Rivers/Lakes
24041,Horses
24047,Horses
24064,Rivers/Lakes
24066,Rivers/Lakes
24068,Rivers/Lakes
204794,Rivers/Lakes
29914,Flowers
126089,Flowers
126219,Bridges
126219,Rivers/Lakes
126109,Flowers
126164,Flowers
126175,Spring
126294,Flowers
126241,Flowers
126241,Still-Life
29922,Still-Life
126131,Flowers
126153,Flowers
126274,Flowers
126142,Flowers
5093,Landscape Art
5093,Rivers/Lakes
5095,Landscape Art
5097,Horses
5097,Landscape Art
5099,Landscape Art
5101,Autumn/Fall
5101,Landscape Art
5103,Landscape Art
5105,Landscape Art
5105,Spring
5109,Landscape Art
5109,Rivers/Lakes
5111,Landscape Art
5115,Deers
5115,Landscape Art
5113,Deers
5113,Landscape Art
5117,Landscape Art
5117,Rivers/Lakes
5119,Landscape Art
5121,Landscape Art
5125,Landscape Art
5127,Landscape Art
5129,Landscape Art
5133,Landscape Art
5133,Rivers/Lakes
5135,Landscape Art
5135,Rivers/Lakes
5137,Landscape Art
5141,Landscape Art
5143,Landscape Art
5155,Landscape Art
5155,Rivers/Lakes
5161,Landscape Art
5163,Landscape Art
5221,Landscape Art
128800,Rivers/Lakes
126577,Winter
25863,Jesus Christ
25871,Christianity
25873,Christianity
25875,Portraits
25879,Portraits
25882,Portraits
25884,Portraits
25888,Portraits
25890,Portraits
25892,Portraits
25894,Portraits
25900,Portraits
25902,Portraits
25904,Portraits
25906,Christianity
25908,Christianity
25910,Christianity
25914,Christianity
23540,Nude
23542,Nude
23544,Nude
23552,Portraits
23554,Portraits
23556,Portraits
29962,Still-Life
28801,Landscape Art
28803,Landscape Art
28805,Landscape Art
28807,Landscape Art
28807,Winter
22580,Still-Life
22581,Still-Life
22587,Still-Life
22588,Flowers
22599,Nude
22600,Portraits
22601,Portraits
22602,Nude
22603,Still-Life
6719,Autumn/Fall
6719,Rivers/Lakes
6723,Autumn/Fall
208575,Rivers/Lakes
6725,Rivers/Lakes
6721,Rivers/Lakes
6727,Rivers/Lakes
6729,Rivers/Lakes
208553,Rivers/Lakes
6731,Rivers/Lakes
6737,Winter
6743,Rivers/Lakes
6747,Winter
6749,Bridges
6751,Gardens
6753,Horses
6755,Spring
6765,Seascapes
6771,Spring
23392,Landscape Art
23392,Seascapes
185403,Landscape Art
185411,Landscape Art
185659,Landscape Art
185419,Landscape Art
185427,Landscape Art
185435,Landscape Art
185451,Landscape Art
185443,Landscape Art
185459,Landscape Art
185362,Landscape Art
185362,Seascapes
185666,Landscape Art
185467,Landscape Art
23394,Landscape Art
23396,Landscape Art
23396,Rivers/Lakes
185673,Landscape Art
23398,Landscape Art
23398,Seascapes
185475,Landscape Art
185483,Landscape Art
23400,Landscape Art
23400,Rivers/Lakes
185491,Landscape Art
185499,Landscape Art
185389,Landscape Art
185389,Rivers/Lakes
185371,Landscape Art
185371,Seascapes
185507,Landscape Art
185515,Landscape Art
185680,Landscape Art
185687,Landscape Art
185694,Landscape Art
185555,Landscape Art
21102,Gardens
21102,Musics
21116,Musics
21120,Nude
21126,Gardens
21132,Dancers
21134,Dancers
21138,Musics
21144,Flowers
21142,Flowers
21146,Gardens
21156,Horses
21158,Churches/Temples/Mosques
21160,Portraits
21184,Portraits
21182,Portraits
21186,Nude
21188,Spring
21194,Spring
21206,Portraits
21214,Portraits
24389,Musics
24395,Musics
24397,Dogs
24427,Musics
24435,Nude
24437,Bridges
135364,Flowers
25499,Flowers
25501,Flowers
25501,Still-Life
135373,Flowers
135382,Flowers
135355,Still-Life
135346,Still-Life
135324,Flowers
135391,Flowers
135335,Flowers
6893,Nude
6915,Cafes/Bars
7818,Nude
29612,Nude
29616,Nude
29620,Nude
29626,Nude
29630,Nude
29634,Portraits
29634,U.S. Presidents
29648,Nude
29668,Nude
29670,Nude
29678,Portraits
29680,Portraits
29682,Portraits
29684,Portraits
29686,Portraits
29688,Nude
29694,Nude
29696,Nude
29698,Portraits
29700,Portraits
29704,Nude
29704,Summer
29712,Nude
29714,Nude
29718,Nude
29722,U.S. Presidents
25595,Bridges
25595,Churches/Temples/Mosques
182387,Still-Life
182398,Nude
156969,Christianity
192348,Portraits
175506,Nude
29772,Nude
29774,Portraits
29776,Portraits
175438,Still-Life
29784,Musics
29784,Still-Life
29786,Flowers
29786,Still-Life
29788,Still-Life
29790,Summer
176823,Still-Life
176833,Dogs
122099,Still-Life
122110,Still-Life
122141,Flowers
122132,Flowers
122159,Flowers
122121,Musics
122121,Still-Life
122066,Musics
122077,Still-Life
122088,Still-Life
23159,Architectures
23165,Architectures
23163,Architectures
23167,Architectures
23167,Bridges
23167,Rivers/Lakes
23169,Architectures
23169,Bridges
23173,Architectures
23171,Architectures
23177,Architectures
23177,Rivers/Lakes
23175,Architectures
23175,Rivers/Lakes
23161,Architectures
23179,Architectures
23181,Architectures
23183,Architectures
23183,Bridges
23183,Rivers/Lakes
23185,Architectures
23185,Rivers/Lakes
23189,Architectures
23191,Architectures
23193,Architectures
23195,Architectures
23197,Architectures
23199,Architectures
23201,Architectures
23203,Architectures
31754,Musics
31768,Horses
31776,Portraits
31772,Portraits
27970,Jesus Christ
27994,Portraits
27996,Portraits
27998,Portraits
28000,Portraits
28002,Portraits
28004,Portraits
28006,Portraits
28008,Portraits
27984,Portraits
28012,Portraits
28014,Portraits
28016,Portraits
28018,Portraits
28020,Portraits
28022,Portraits
124136,Nude
124169,Nude
124147,Nude
23021,Flowers
23035,Musics
23035,Portraits
23039,Spring
23041,Spring
23043,Summer
30148,Autumn/Fall
184585,Nude
184558,Nude
184613,Nude
184567,Nude
184622,Nude
184576,Nude
31652,Deers
31656,Dogs
31660,Deers
31666,Rivers/Lakes
31676,Dogs
31678,Deers
31686,Dogs
31692,Dogs
31694,Still-Life
31698,Deers
29726,Summer
29748,Rivers/Lakes
27353,Churches/Temples/Mosques
27365,Gardens
27365,Lovers
27367,Lovers
27369,Lovers
27379,Gardens
27379,Rivers/Lakes
27381,Gardens
27383,Gardens
193587,Portraits
193596,Portraits
193603,Portraits
193617,Portraits
193610,Portraits
193629,Portraits
193638,Portraits
193674,Portraits
193683,Portraits
193647,Portraits
193656,Portraits
193665,Portraits
27595,Dogs
27597,Christianity
27597,Jesus Christ
199604,Christianity
27603,Christianity
29980,Still-Life
191832,Horses
191845,Horses
191856,Horses
191918,Horses
191927,Horses
191867,Horses
191909,Horses
191878,Horses
191889,Horses
191900,Horses
122879,Portraits
122868,Portraits
122901,Portraits
122912,Portraits
122923,Summer
122934,Portraits
27143,Gardens
27167,Flowers
27169,Portraits
27171,Portraits
27173,Nude
27175,Summer
27195,Winter
27129,Christianity
27129,Nude
27131,Christianity
27131,Jesus Christ
30172,Nude
30176,Cafes/Bars
30182,Nude
6020,Landscape Art
6020,Rivers/Lakes
202259,Autumn/Fall
6024,Bridges
6032,Autumn/Fall
6034,Architectures
6036,Winter
6040,Rivers/Lakes
6042,Rivers/Lakes
6044,Nude
6050,Architectures
6050,Autumn/Fall
6056,Spring
6058,Winter
6062,Bridges
6062,Rivers/Lakes
6074,Gardens
6064,Seascapes
24159,Architectures
24161,Architectures
24163,Architectures
24167,Architectures
24167,Rivers/Lakes
24171,Architectures
24177,Architectures
24177,Horses
24179,Architectures
24185,Architectures
24187,Architectures
24189,Architectures
24189,Rivers/Lakes
24197,Architectures
198595,Architectures
198595,Rivers/Lakes
119315,Architectures
119315,Rivers/Lakes
24205,Architectures
24205,Rivers/Lakes
24215,Architectures
24215,Rivers/Lakes
24223,Architectures
24223,Bridges
24223,Rivers/Lakes
24227,Architectures
24227,Gardens
24235,Architectures
24237,Architectures
24241,Architectures
24243,Architectures
24247,Architectures
24251,Architectures
24255,Architectures
119288,Architectures
119288,Rivers/Lakes
119190,Architectures
119190,Rivers/Lakes
119325,Architectures
119325,Churches/Temples/Mosques
119220,Architectures
119220,Rivers/Lakes
119238,Architectures
119238,Rivers/Lakes
24271,Architectures
24271,Rivers/Lakes
23462,Christianity
23462,Jesus Christ
23474,Christianity
23480,Christianity
23484,Portraits
23488,Christianity
23498,Christianity
23494,Christianity
23500,Christianity
23863,Christianity
23502,Christianity
23502,Jesus Christ
23504,Christianity
23506,Christianity
23510,Christianity
23510,Jesus Christ
23512,Christianity
26231,Portraits
23355,Winter
23357,Seascapes
23359,Seascapes
23361,Rivers/Lakes
23371,Gardens
23373,Rivers/Lakes
