work_id,name,artist_id,style,museum_id
160228,Still Life with Flowers and a Watch,615,Baroque,43
160236,Still Life with Fruit and a Beaker on a Cock's Foot,615,Baroque,43
160244,Still Life with Fruit and a Goldfinch,615,Baroque,43
160252,Still Life with Fruit and Oysters,615,Baroque,43
160260,"Still Life with Fruit, Oysters, and a Porcelain Bowl",615,Baroque,43
160268,The Overturned Bouquet,615,Baroque,43
125752,Arabian Horses at Pasture,757,Baroque,
125818,Count Halm on His Basedow Estate,757,Baroque,
23448,Horses at the Porch,757,Baroque,34
125763,Napoleon Before the Burning City of Smolensk,757,Baroque,
125774,Peasants Resting in the Field,757,Baroque,
125785,Portrait Oberleutnant Theodor Von Klein,757,Baroque,
125796,The Rescue of Count Munnich,757,Baroque,
125807,The Stable Yard,757,Baroque,
24532,Jacob A. Stamler Departing Le Havre,563,,
124470,Kaleda off Le Havre,563,,
124479,R. Bell &amp; Co. Steamship Bothal in a Heavy Swell,563,,
124488,Steam Sailing Ship Finsbury in a Stormy Sea,563,,
124497,The American Ship Olive S Southard in French Waters,563,,
124506,The Atalanta Running Under Reduced Sail in a Gale,563,,
124515,The Auxiliary Steamer County of Sutherland at Sea Under Steam and Sail,563,,
124524,The Auxiliary Steamer Rishanglys Calling for a Pilot Off a Headland,563,,
124533,The Barquentine Herdis of the American Star Line,563,,
124542,The First French Steam Battlefleet in Formation at Sea,563,,
124551,The French Brig Dieudonne in Full Sail Off a Headland,563,,
124560,The Full-Rigger King Ceolric Running Under Full Sail,563,,
124569,The Richard Rylands Passing the Fastnet Rock,563,,
124578,The Ship Jacob A. Stamler,563,,
124587,The Three-Master Hahnemann in Full Sail Off a Headland,563,,
135881,Comedian Tournelle,621,Neo-Classicism,
135892,Madame de Genlis,621,Neo-Classicism,60
135903,Monsieur Meunier,621,Neo-Classicism,
135914,Pierre Roch Vigneron,621,Neo-Classicism,
135925,Portrait de Madame La Comtesse de Lameth,621,Neo-Classicism,
135936,Portrait of a Man,621,Neo-Classicism,
135947,Portrait of a Woman,621,Neo-Classicism,
135958,Portrait of Gaspard Gilbert Delamalle,621,Neo-Classicism,
31780,Portrait of Madame Labille-Guyard and Her Pupils,621,Neo-Classicism,35
135969,Portrait of the Duchesse D'Aiguillon,621,Neo-Classicism,
31778,Portrait of the Painter Vincent,621,Neo-Classicism,40
135980,Self-Portrait,621,Neo-Classicism,
147731,Jean-Dominique Fabry Garat Playing Lyre,616,,
147742,Portrait d'Aglae´-Constance Boudard en Robe de Velours Rouge,616,,
147753,Portrait d'Ame´lie-Justine et de Charles-Edouard Pontois,616,,
147764,Portrait d'Ame´lie-Justine Laidin de la Bouterie,616,,
147815,Portrait de la Famille de l'Artiste Posant Devant le Cha^teau de Juilly,616,,46
147797,Portrait of a Lady,616,,
147806,Portrait of a Mother and Child,616,,
147775,"Portrait of a Young Lady, seated in a White Dress Holding a Lyre",616,,
147786,"Portrait of Auguste Vestris, French Dancer",616,,47
24536,George Washington,837,,35
122171,Henri Bertholet Campan with His Dog Aline,837,,
122182,Mrs. Sims of Philadelphia,837,,
122193,Portrait of Mr. Lyttkens,837,,
122204,Portrait of Stanislas de Clermont Tonnerre,837,,
122215,Portrait of the Queen,837,,62
122224,Queen Marie Antoinette of France and Two of Her Children,837,,35
194065,"Barend Klijn Barendsz, Poet",569,,43
194074,"Cornelis Sebille Roos, Amsterdam Art Dealer and Keeper of the Nationale Konst-Gallery in Huis ten Bosch, The Hague",569,,43
194148,General Daendels Taking Leave of Lieutenant-Colonel Krayenhoff,569,,43
194130,"Jonkheer Gysbert Carel Rutger Reinier van Brienen van Ramerus, with his Wife and four of their Children",569,,43
194121,Morning Visit,569,,43
194083,"Portrait of Albertus Henricus Wiese, Governor-General of the Dutch East Indies",569,,43
194092,"Portrait of Gerrit Verdooren, Vice-admiral",569,,43
194101,Portrait of Hendrick de Hartog,569,,43
194155,Portrait of the Family of Adrianus Bonebakker with Dirk L. Bennewitz,569,,43
194110,"Portrait of Wilhelmina Maria Haack, fourth Wife of Gerrit Verdooren",569,,43
194162,The Art Gallery of Jan Gildemeester Jansz,569,,43
194169,The Art Gallery of Josephus Augustinus Brentano,569,,43
194176,The Drawing Gallery of the Felix Meritis Society,569,,43
194181,The Sculpture Gallery of the Felix Meritis Society,569,,43
194139,Woman Baking Pancakes,569,,43
160324,Portrait of a Man,597,Renaissance,43
160332,William of Orange,597,Renaissance,43
24025,"A Distant View of Dordrecht, with a Milkmaid and Four Cows",592,Baroque,46
24029,A Herdsman with Seven Cows by a River,592,Baroque,47
24031,"A Landscape with Horseman, Herders and Cattle",592,Baroque,
24033,A View of the Maas at Dordrecht,592,Baroque,55
24035,Cattle in a River,592,Baroque,
24037,Cattle Near a River,592,Baroque,
24039,"Cattle Near the Maas, with Dordrecht in the Distance",592,Baroque,
24041,Cattle with Horseman and Peasants,592,Baroque,47
24043,Children and a Cow,592,Baroque,35
24047,Lady and Gentleman on Horseback,592,Baroque,46
24049,Landscape with Cattle,592,Baroque,
24051,Landscape with Cows and Young Herdsman,592,Baroque,43
24053,Landscape with Herdsman and Cattle,592,Baroque,43
24059,Mountainous Landscape with the Ruins of a Castle,592,Baroque,43
24061,Piping Shepherds,592,Baroque,35
24064,River Landscape with Cows,592,Baroque,43
24066,River Landscape with Riders,592,Baroque,43
24068,River Scene,592,Baroque,43
24070,Rooster and Hens,592,Baroque,
164850,Senior Merchant,592,Baroque,43
24072,Starting for the Hunt,592,Baroque,35
198873,The Flight into Egypt,592,Baroque,60
24074,The Maas at Dordrecht,592,Baroque,46
24078,The Passage Boat,592,Baroque,
204794,Travelers in Hilly Countryside,592,Baroque,53
164862,View of Dordrecht at Sunset,592,Baroque,43
198863,View of the Maas near Dordrecht,592,Baroque,60
24084,Young Herdsmen with Cows,592,Baroque,35
29914,Bouquet of Roses and Fruit,659,Expressionism,35
126089,Bouquet of Roses,659,Expressionism,
126219,Bridge Over the Seine in Paris,659,Expressionism,
126208,"Buses, Place Pigalle",659,Expressionism,
